1001	0	3
1001	7	1
1004	0	1
1005	0	1
1010	0	1
1010	1	1
1011	0	5
1011	2	1
1013	4	1
1013	5	1
1015	6	1
1016	2	1
1018	0	2
1018	10	1
1018	3	1
1022	0	1
1023	0	4
1025	0	1
1025	4	1
1026	0	1
1028	0	1
1029	0	1
1035	0	1
1036	2	1
1037	0	1
1037	1	2
1037	10	1
1041	0	96
1041	1	25
1041	10	6
1041	2	16
1041	3	5
1041	4	4
1041	5	4
1041	6	3
1041	7	2
1041	9	1
1052	3	1
1057	0	1
105	0	4
105	2	1
1061	0	1
1061	1	1
1065	0	1
1068	0	1
106	0	1
1072	0	9
1072	10	2
1072	2	2
1072	5	2
1072	6	1
1072	7	1
1073	2	1
1075	2	1
107	6	1
1080	0	49
1080	1	15
1080	10	2
1080	3	2
1080	4	3
1080	5	3
1082	10	1
1083	0	1
1087	6	1
1089	1	1
1091	0	1
1095	0	1
1095	5	1
1096	0	2
109	0	2
1107	0	1
1109	6	1
110	4	1
1112	6	1
1114	1	1
1115	0	1
1118	0	1
1118	1	2
1120	0	1
1123	9	1
1125	0	64
1125	1	11
1125	2	2
1125	4	3
1125	5	1
1125	7	1
1125	8	1
1126	0	1
1127	0	2
1127	10	2
112	2	1
1130	10	1
1131	0	1
1132	3	1
1132	5	1
1136	0	2
1136	1	1
1137	0	1
1138	0	1
113	0	2
1147	3	1
1148	1	1
1149	0	1
1149	1	1
1149	6	1
1153	0	1
1157	0	3
1157	1	2
1157	5	1
1159	0	1
1160	10	2
1161	0	1
1163	0	2
1168	0	1
1169	0	167
1169	1	60
1169	10	6
1169	2	23
1169	3	5
1169	4	5
1169	5	1
1169	6	1
1169	7	1
1169	8	1
1169	9	1
1176	0	1
1177	0	1
1180	2	1
1182	0	7
1182	4	1
1183	0	1
1186	1	1
1187	0	1
1187	7	1
1188	1	2
1188	6	1
1194	0	6
1197	0	2
1200	0	1
1208	0	1
120	0	2
1210	0	1
1213	10	1
1215	0	1
1216	0	2
1219	0	1
1219	2	1
1221	0	2
1221	5	1
1226	0	1
1227	0	1
122	0	4
122	2	1
1235	0	1
1235	8	1
1238	0	1
1240	10	1
1242	0	1
1243	0	2
1244	0	6
1244	1	1
1244	2	1
1244	4	1
1244	9	1
1245	0	1
1246	0	1
1246	10	1
1253	0	1
1253	1	3
1256	0	1
125	0	7
125	1	1
125	10	1
125	2	2
1264	0	3
1264	8	1
1268	0	1
1270	0	2
1271	0	1
1274	0	1
1275	7	1
1280	3	1
1282	0	2
1282	1	1
1282	10	1
1284	0	3
1286	0	1
1286	2	1
1287	0	2
1290	8	1
1292	0	1
1296	6	1
1297	0	1
1297	1	1
1298	0	2
1298	4	1
129	0	87
129	1	20
129	2	22
129	3	5
129	4	1
129	6	1
1300	0	3
1300	2	1
1300	8	1
1301	1	1
1303	0	1
1307	1	2
1309	0	1
1309	3	1
130	0	1
130	5	1
1310	0	1
1315	1	1
1317	0	1
1317	1	1
1317	4	1
1318	0	1
1320	0	1
1320	1	2
1320	2	1
1320	3	1
1322	4	1
132	0	1
132	1	1
1334	1	1
1336	0	6
1336	1	4
1336	2	3
1336	4	2
1336	7	1
1338	3	1
1339	0	1
133	0	2
1344	1	1
1345	0	1
1346	0	1
134	1	1
1351	0	2
1352	0	1
1352	1	1
1353	0	1
1355	10	1
1356	0	1
1360	0	4
1360	1	2
1360	3	1
1360	4	1
1360	9	1
1361	0	3
1361	1	1
1362	0	1
1363	0	1
1367	3	1
1370	10	1
1375	1	1
1377	0	1
1377	1	1
1379	0	231
1379	1	58
1379	10	5
1379	2	28
1379	3	4
1379	4	2
1379	5	2
1379	6	3
1379	7	1
1379	8	1
1379	9	1
1380	0	1
1382	0	1
1382	10	2
1384	0	1
1386	0	1
1389	0	1
1390	0	6
1390	4	1
1390	5	1
1391	0	2
1392	3	1
1393	0	1
1398	0	7
1398	1	1
1398	3	1
1398	6	1
139	0	1
13	0	1
1403	0	2
1403	7	1
1407	0	1
140	0	1
1413	0	2
1414	1	1
1417	4	1
1418	0	1
1422	0	1
1425	2	1
1425	5	1
1427	0	1
1430	0	2
1430	2	1
1432	0	1
1433	0	206
1433	1	54
1433	10	13
1433	2	29
1433	3	8
1433	4	8
1433	5	4
1433	6	2
1433	7	1
1433	8	2
1433	9	2
1434	0	1
1434	9	1
1438	5	1
1439	7	1
1440	0	11
1440	1	2
1440	10	1
1440	2	3
1440	3	2
1440	4	1
1440	8	2
1442	1	1
1443	0	4
1443	1	1
1443	6	1
1446	6	1
1447	0	1
1448	0	2
1448	3	1
1453	1	1
1457	0	2
1457	2	1
1459	0	2
1461	2	1
1468	0	1
1469	0	160
1469	1	53
1469	10	26
1469	2	29
1469	3	19
1469	4	18
1469	5	9
1469	6	7
1469	7	5
1469	8	8
1469	9	5
146	0	1
1472	0	1
1476	0	1
1477	0	1
1481	1	2
1481	5	1
1483	0	1
1487	0	3
1489	0	1
1489	10	1
1491	2	1
1491	3	1
1493	0	1
1493	1	1
1494	0	1
1495	0	4
1497	0	1
1498	0	2
1498	10	1
14	0	1
150	0	2
1511	0	1
1513	0	2
1514	0	2
1515	0	3
1516	4	1
1520	0	526
1526	0	6
1526	10	1
1526	2	2
1526	3	2
1526	4	1
1526	6	2
1528	0	4
1529	0	2
1530	0	7
1532	0	1
1536	0	1
1541	1	2
1542	0	2
1542	5	1
1546	0	1
1546	1	1
1552	0	1
1553	0	2
1560	0	1
1564	0	1
1569	0	33
1569	1	10
1569	10	6
1569	2	4
1569	3	6
1569	5	3
1569	6	2
1569	7	2
1569	8	2
1569	9	2
1573	0	1
1576	0	6
1578	0	1
1579	1	1
157	0	2
157	1	1
157	4	1
1581	6	1
1583	0	1
1585	0	7
1585	1	2
1585	10	1
1585	2	2
1585	3	3
1586	0	1
1588	0	2
1588	1	1
1588	3	1
1594	10	1
1597	0	2
1599	0	1
1599	1	1
159	0	1
15	0	3
15	1	2
1604	0	1
1604	7	1
1606	0	3
1607	0	1
1610	0	1
1610	1	1
1613	0	1
1613	4	1
1614	0	8
1614	10	1
1614	5	1
1614	7	1
1616	10	1
1618	0	1
1620	0	3
1623	0	6
1623	10	1
1623	2	3
1623	3	1
1623	6	1
1625	0	1
1626	0	1
1628	2	1
162	0	2
1631	0	5
1631	1	3
1631	2	2
1636	0	1
1637	0	1
1637	10	1
1637	5	1
1638	0	1
163	0	1
1642	10	2
1644	0	6
1644	1	2
1644	2	1
1645	10	1
1646	0	5
1646	10	1
1646	9	1
1647	3	1
1648	0	2
1648	2	1
1653	0	2
1654	0	6
1654	5	1
1655	10	1
1655	2	1
1656	0	2
1658	0	1
165	0	1
1660	0	1
1662	0	1
1663	0	2
1663	1	1
1663	10	1
1672	0	1
1672	3	1
1673	7	1
1675	0	1
1676	8	1
1680	0	1
1685	0	1
1687	10	1
1693	0	3
1697	0	1
